ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,744 valid responses,363,300,90,20,14,9,60,48,6,102,49,28,7,301,205,105,33,22,17,8,234,87,74,52,36,12,11,42,15,12,,,,,,,,,,,,,,,,,,,,,
304,1,2,1,4,3,2,1,SO,7,Coherent sequential curriculum that does not require dedicated Bioinformatics courses.,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,3,2,4,2,5,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,1,3,1,4,2,2,2,MW,3,"Being at a non-research university, we have little monies to purchase software/hardware, and no monies for workshops/courses/ acquire formal training.Also, technology (hardware and software) continually improves / changes, so keeping up with the modern ools are a challenge.",1,1,,,,,,,,1,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1,2,1,4,2,2,2,SO,5,student skepticism/resistance.,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,2,2,4,2,2,3,SO,5,Lack of computational skills for both the instructor and student.,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1,3,1,4,8,5,2,SO,5,"Structure of biology curriculum. Bioinformatics courses are not required, so very few students willing to take them",,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,1,1,4,2,2,2,NE,2,I have a hard time finding textbooks that are appropriate for undergraduate bioinformatics.  Texts tend to be instruction manuals or written at too high a level.  I would like an introductory text that addresses difficult material but in an accessible wayfor undergraduates to understand.  The easier texts read as sets of instruction to get students to perform tasks but don't provide enough context or explain the importance of performing a task.,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1,3,1,4,2,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1,2,3,4,2,2,3,NE,2,Math and computer skills,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1,1,1,4,3,2,2,NE,1,"The newness of the field, standard curricula and text material are just being developed, conveying to students the importance of this field, computational resources, training/re-training faculty.",1,1,,,,,1,1,,1,,,,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
315,#NULL!,#NULL!,1,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1,3,1,4,8,4,1,MW,3,"time constraints - so many topics, so little timeaccessibility to students - hard to combine statistics, computation and biology topics until students have a lot of introductory material under their beltfaculty training - not everyone does enough bioiformatics to teach a whole course - or uses it, but doesn't know how to teach it - or uses only one area (e.g. classic statistics, but not gene databanks)",1,1,1,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1,3,1,4,2,3,1,WE,9,Student preparation for analytical work,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2,3,1,4,8,1,2,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2,3,2,2,8,1,1,WE,9,There is a lack of training in bioinformatics among faculty.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1,2,1,4,2,2,2,NE,1,Knowing the tools themselves and implementing the use in the short term of a course.  Plus bioinformatics is not like learning to bike - you do forget.  If you are not going to use it in the short term you are likely to forget.  So for undergrads it is moe about making them aware that the tools exist rather than teaching them how to use the tools.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,3,1,4,1,3,1,WE,8,"Student reluctance to do or their ""fear"" of mathematics in general. Some students want to quickly solve problems and don't have the desire, persistence or patience to engage in challenging mathematics problems. Others have not had previous success in mathmatics so they don't think they can do it. Also, because mathematics is taught as a ""stand alone"" class, many students don't see the application of it to their discipline of choice because faculty in those disciplines don't include or require mathematics n their classes (for various reasons including their own challenges with mathematics, their desire to ""get through"" other material, etc.).",,,,,,,,,,,,,,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1,3,1,4,8,5,1,SO,5,"At minority serving institutions the teaching load is very high and it just limits the time devoted to update and integrate new ideas in to the courses. With 100% teaching load faculty is emptied to write grants and research papers. I do not see any sort f balance that leads to healthy mind and life. Resources are limited and not managed very well, there is no dedicated personal or TAs to support the faculty.",1,,1,,,,,,,1,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
323,1,3,1,4,2,3,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1,3,1,2,2,2,2,MW,4,"A lack of training and experience in bioinformatics.A lack of agreement about what topics should be dropped in order to have space/time to introduce bioinformatics.",1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1,3,1,4,3,4,3,NA,NA,"knowledge base and designing exciting enquiry-based dry practicals - bioinformatics is not very interesting as an ""exercise""",1,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,1,4,1,4,1,3,1,WE,9,Funding/support,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,2,2,4,3,3,1,WE,9,Lack of programming and quantitative skills among students.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1,2,3,4,3,4,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,3,1,4,2,2,2,NE,2,Better basic training on faculty,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1,3,2,4,1,3,2,NE,2,Lack of Expertise,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,2,3,4,2,2,2,MW,3,"Finding space/time in the curriculum.Finding instructors with the necessary expertise.",1,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1,3,1,4,2,4,1,SO,7,"I don't do this myself, but there are problems with course accessibility because of prerequisites.  Our Biology students who would like to take a Bioinformatics course can't do that unless they have at least one programming/software design course. They hae trouble fitting that in to an already-crowded curriculum. The Computer Sciences majors often can't take relevant Biology courses (e.g., Genetics) because of departmental course prereqs. They also have a very crowded curriculum.",,,,,,,,,,,,,,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1,3,2,4,2,4,1,SO,7,Lack of the appropriate skills; absence of computers of sufficient CPU power and memory,,,,,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1,2,2,4,3,2,1,SO,5,"At undergraduate institutions like ours, providing students with enough background such that they are comfortable enough with the math/statistics and the molecular biology to understand the concepts around and the output of the various bioinformatic toolsused.",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,3,2,4,2,3,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1,2,1,4,8,2,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,2,2,4,3,4,3,MW,4,The tools used change rapidly and come and go.  You can develop an assignment using a tool and then the tool website can disappear unless it is on NCBI.,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1,4,1,4,1,4,3,MW,4,lack of basic math skills in students,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,2,2,4,2,4,2,MW,4,It is difficult to provide consistent experiences for students in existing courses because faculty need professional development.  A stand alone course designed for life science students would provide more consistency.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1,4,2,4,2,4,3,SO,5,Many students that major in Biology are not very comfortable with math.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1,2,3,4,2,4,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2,3,3,4,1,1,3,WE,8,"Time, training.",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2,3,1,4,1,5,2,WE,8,knowledge and time,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,1,4,1,4,2,4,2,NE,1,to keep current,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2,3,1,2,3,1,1,SO,5,Curriculum resources and time to incorporate material into current curriculum,1,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,1,1,4,9,3,2,MW,4,"Designing relevant exercises / authentic research exercisesOvercoming student frustration and unwillingness to do programming",1,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1,2,1,4,3,2,2,NE,2,"Keeping up with the fieldFiguring out best tools",1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1,2,1,4,3,2,3,MW,4,Finding time in existing courses to include background and theory on bioinformatic tools that support use of particular bioinformatic applications.,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,1,1,2,4,8,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1,2,2,4,2,2,2,MW,3,"For me, it is keeping expertise current.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1,3,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1,2,1,4,2,2,2,MW,3,"time to develop course material, computational resources, computational comfort of students (beyond GUI tools)",1,,1,,1,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1,1,2,4,2,3,2,MW,3,"Loss of data to paywalls or incompatibilities in the format of the data.Overwhelming amount of data that drowns inexperienced students",,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1,2,2,4,2,3,2,MW,3,"Fear of using a computer for something other than social media or random google searches.  Fear of bioinformatics as a ""computer programming"" exercise.  Bioinformatics is boring.",,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1,2,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1,2,1,4,3,4,2,WE,8,Support systems for faculty who are not bioinformaticists.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1,4,2,4,1,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1,3,2,4,2,2,1,NE,2,Cost of entry into field.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1,1,1,4,8,2,2,NE,2,lack of sophistication in math and computer science (and lack of interest in these areas),,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1,3,2,2,3,4,2,MW,3,"Time and understanding ways to incorporate bioinformatics into course curricula that are meaningful, but relatively easy to understand.",1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1,1,2,4,9,5,2,NE,2,"Sound background and curiosity in interdisciplinary subjects e.g. biology, cs, statistics",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1,3,2,4,3,3,1,WE,9,"Incorporating new material and techniques related to recent advances in genome sequencing (and other 'omics approaches) and their impact on biology and health sciences, and ways of dealing with ""big data"".",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1,3,1,2,3,3,1,MW,3,"The instructors themselves lack the background. More workshops should be offerred to train them. This way, they are more comfortable in adding the content to the syllabus and in designing lab projects incorporating bioinformatics.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1,3,1,4,2,3,2,SO,5,"The need to train faculty in these techniques. Especially at schools that are not research intensive, even finding these resources can be challenging.",1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1,3,1,4,8,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1,3,2,4,2,2,3,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1,2,2,4,2,3,1,SO,7,"Access to good facilities, qualified faculty to teach such courses",1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1,1,2,4,2,2,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2,2,1,4,8,1,1,WE,9,"1. Understanding quality data analysis- quality search data versus junk (bringing up VS40 genome when looking at plasmid sequences with a high match- what does that mean?)2. Understanding what alignments demonstrate or imply.3. Understanding the ""big icture""- what to do with the data in relation to protein families, and functions or evolutionary perspective, or pseudogenes versus functional genes; etc. I find that the students can follow directions and execture searches, they can perform an alignmen, they can search for similar protein structures. Understanding ATP-binding cassettes, or similar functions to similar stuctures; putative protein similarities in regulation/ catalytic domains/ DNA binding domains, etc.- they are not sophisticated enough o understand- they have not had it yet in coursework to see where this could fit.",1,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1,3,2,4,2,2,1,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,2,2,4,3,3,1,WE,9,Math skills and computer programming,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1,2,2,4,3,4,3,NA,NA,"Large data management, analysis and interpretation",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2,3,2,4,2,1,1,WE,8,Faculty members are not experts in this field,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1,2,1,4,2,2,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1,2,2,4,2,2,3,WE,9,increasing the scope of tools that students learn about to include much larger volumes of data,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1,3,1,4,2,3,2,MW,4,"Bioinformatics takes substantial learning in modeling and systems thinking.  Students also need to be familiar with ""big data"" and have computational skills necessary to work with these large datasets.  Ecology (i.e., climate, long-term ecological data) ad Molecular data should both be included in these conversations.",,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1,2,2,4,3,2,2,NE,1,"Lack of resources, disincentives for students to take electives",,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,1,3,1,4,2,2,2,MW,4,"Without a dedicated bioinformatics course (or even in a topics-level bioinformatics course), a key challenge is balancing between the context of the biological questions and the tools needed to do the analysis. I think it can be hard to design authentic rsearch experiences in a course that have a bioinformatics context, because students are less familiar with the type of questions that can be answered using bioinformatics (so there's less independent work).",,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,1,3,1,4,2,5,3,NE,2,staying current themselves,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1,2,2,4,2,4,2,SO,5,"The priority of quantitative literacy - biology is traditionally considered a qualitative science. Pre-clinical training, the driver of a lot of undergraduate curriculum, is primary qualitative. However, many areas of modern biology are actually deeply quntitative and require preparation in math, statistics, and computer science. At my institution the number of students interested in basic quantitative science or planning for careers in science is very small. Therefore, there is little incentive to recognze teaching in this area or to expand course offerings.A consequence is that our doctoral students also have few opportunities to receive practice and development as teachers of these subjects, since we do not have teaching assistant opportunities in he small bioinformatics-content classes.",,,,,,,,,,,,,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,1,1,4,8,4,2,SO,5,"Professional development of faculty in order to teach. Getting students interested in statistics and programming.",1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1,4,2,4,2,4,1,SO,5,Quantitative skills/background vary from student to student - might need a leveling course before or concurrently with introductory genetics; which would then lead to preparedness for a course in Bioinformatics.,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1,3,2,4,2,2,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1,3,1,4,2,4,2,MW,3,"I think bioinformatics would best be taught if it was integrated into the sequences of core courses rather than a standalone course. But, not all instructors have the knowledge and experience necessary to do it well. Resources from the bioinformatics commnity that were targeted to these types of courses would be a great help, I think.",1,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1,4,2,4,2,4,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1,1,2,4,3,4,3,MW,3,"As bioinformatics actually covers many different topics, the difficulty is broadly training students with only one or two courses. As most schools do not have a degree or certificate in bioinformatics there is generally only time to have one or two electie courses offered. Next is exactly what to teach as different people have different ideas, some one students to learn a narrow set that they will use in research and other, like myself, want more broad training. Also, for biologist how much computer pograming do they need?",1,1,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,1,2,1,4,2,4,2,MW,3,Insufficient time to meaningfully incorporate bioinformatics into the curriculum.  Insufficient knowledge by some of the faculty about bioinformatics - this is changing as individuals retire.,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1,3,2,4,2,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,4,1,4,8,4,2,MW,3,Curriculum development,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,4,1,4,2,MW,3,"Figuring out the audience. Some aspects of this are NOT relevant to learning to be a doctor, and a lot of the audience thinks they will be doctors. Other aspects are relevant to all life sciences majors.",,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1,3,1,2,3,4,2,MW,3,"The interdisciplinarity of bioinformatics means (I think) that students need a lot of background before they can even try out bioinformatics. It seems like a field which has no easy entry. Students needs science, math and computer science/programming coures in advance.",,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1,3,2,4,2,3,1,MW,3,faculty expertise - hiring such a faculty member is one of our long-term goals,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,#NULL!,#NULL!,1,2,1,4,3,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1,4,2,4,8,4,2,MW,3,We are perhaps two of the only programs in the USA offering bioinformatics major degree at the BS level. I have lot to say as department Chair about it and would be happy to share more thoughts if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1,3,2,4,1,2,3,NE,2,"It's one more of MANY competencies that are useful-important; The life sciences aregrowing exponentially in all directions- it's been impossible to cover most of it in anundergraduate major for a long time- now it's even impossible to cover, at any leel, evenall of the most basic core competencies. I would say that bioinformatics should be part ofevery undergraduate biology and/or science program, but it's not feasible to require it ofall students.",,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1,3,2,4,8,3,2,MW,4,Resistance from students.,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1,3,1,4,8,5,3,SO,6,"Students with poor math base, choose biology thinking that they do not have to work with math anymore.",,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1,2,1,4,3,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1,2,1,4,2,2,2,MW,4,Time and inadequate computer labs,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1,4,2,4,2,3,2,MW,3,Poor training in basic chemistry and biology prior to enrolling in college courses.  Many incoming students have low motivation to learn how to solve problems.,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1,3,1,4,2,5,3,MW,3,Students in high school are taught subjects in a very compartmentalized way - bioinformatics requires interdisciplinary thinking.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1,3,2,4,2,2,2,MW,3,"training/education of instructors, availability of computing power, availability of programming/coding skills, computer phobia",1,1,,,,,1,1,,1,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1,3,2,4,8,4,1,SO,6,"Lack in programming and ""statistics data analysis"" skills.",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,1,3,3,4,3,2,1,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1,2,2,4,7,5,2,NE,2,Dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1,4,1,4,2,3,1,MW,3,"Money limits their ability to buy books, laptops, etc.  Some cannot afford the textbook, which is just sad.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1,3,1,4,3,2,2,MW,3,Faculty training and expertise.  Access to computing resources.,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,1,3,1,4,2,2,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1,2,1,4,2,3,2,SO,5,"There is no good bioinformatics teaching materials designed for biology major students. Most of textbooks are written for the whole semester, or too much computer science; it is very hard for teachers to integrate bioinformatics module into a course",,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1,2,1,4,3,3,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1,2,1,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,#NULL!,#NULL!,1,4,2,3,2,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2,3,1,4,3,1,1,SO,7,Time and the faculty not familiar with the subject.,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2,3,1,2,8,1,1,SO,7,"Honestly, I think it would be easier to train computer scientists in biology than to train biologists in computer programming.  Computer scientists should be recruited to take some basic biology courses.  The reason I say that is anecdotal - none of my bilogy students are interested in computer programming, but several computer science majors I've met have been interested in bioinformatics.",,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
